ticker,SWIndustry1,SWIndustry2,SWIndustry3
002728.SZ,801150.SI,801155.SI,851521.SI
002729.SZ,801080.SI,801082.SI,850841.SI
002730.SZ,801890.SI,801074.SI,850725.SI
002731.SZ,801140.SI,801142.SI,851434.SI
002732.SZ,801120.SI,801124.SI,851243.SI
002733.SZ,801730.SI,801733.SI,857335.SI
002734.SZ,801030.SI,801034.SI,850333.SI
002735.SZ,801140.SI,801141.SI,851421.SI
002736.SZ,801790.SI,801193.SI,851931.SI
002737.SZ,801150.SI,801155.SI,851521.SI
002738.SZ,801020.SI,801024.SI,850242.SI
002739.SZ,801760.SI,801761.SI,852242.SI
002740.SZ,801140.SI,801142.SI,851434.SI
002741.SZ,801030.SI,801034.SI,850339.SI
002742.SZ,801710.SI,801713.SI,850614.SI
002743.SZ,801720.SI,801724.SI,857241.SI
002745.SZ,801080.SI,801084.SI,850832.SI
002746.SZ,801010.SI,801017.SI,850171.SI
002747.SZ,801890.SI,801072.SI,850716.SI
002748.SZ,801030.SI,801034.SI,850339.SI
002749.SZ,801030.SI,801034.SI,850333.SI
002750.SZ,801150.SI,801155.SI,851521.SI
002751.SZ,801140.SI,801144.SI,851441.SI
002752.SZ,801140.SI,801141.SI,851421.SI
002753.SZ,801030.SI,801037.SI,850363.SI
002755.SZ,801150.SI,801151.SI,851512.SI
002756.SZ,801040.SI,801041.SI,850412.SI
002757.SZ,801890.SI,801074.SI,850727.SI
002758.SZ,801150.SI,801154.SI,851541.SI
002759.SZ,801110.SI,801111.SI,851114.SI
002760.SZ,801890.SI,801072.SI,850713.SI
002761.SZ,801130.SI,801132.SI,851326.SI
002762.SZ,801130.SI,801132.SI,851327.SI
002763.SZ,801130.SI,801132.SI,851327.SI
002765.SZ,801880.SI,801093.SI,850921.SI
002766.SZ,801750.SI,801222.SI,852226.SI
002767.SZ,801730.SI,801732.SI,857323.SI
002768.SZ,801030.SI,801036.SI,850353.SI
002769.SZ,801170.SI,801178.SI,851781.SI
002770.SZ,801120.SI,801124.SI,851243.SI
002771.SZ,801750.SI,801222.SI,852226.SI
002772.SZ,801010.SI,801016.SI,850112.SI
002773.SZ,801150.SI,801151.SI,851512.SI
002774.SZ,801890.SI,801074.SI,850728.SI
002775.SZ,801720.SI,801725.SI,857251.SI
002776.SZ,801130.SI,801132.SI,851324.SI
002777.SZ,801750.SI,801222.SI,852226.SI
002778.SZ,801030.SI,801035.SI,850311.SI
002779.SZ,801890.SI,801074.SI,850727.SI
002780.SZ,801130.SI,801132.SI,851327.SI
002781.SZ,801720.SI,801722.SI,857221.SI
002782.SZ,801080.SI,801085.SI,850852.SI
002783.SZ,801030.SI,801034.SI,850337.SI
002785.SZ,801710.SI,801713.SI,850614.SI
002786.SZ,801890.SI,801074.SI,850727.SI
002787.SZ,801140.SI,801141.SI,851421.SI
002788.SZ,801150.SI,801154.SI,851541.SI
002789.SZ,801720.SI,801722.SI,857221.SI
002790.SZ,801140.SI,801142.SI,851433.SI
002791.SZ,801710.SI,801713.SI,850614.SI
002792.SZ,801770.SI,801102.SI,851013.SI
002793.SZ,801890.SI,801072.SI,850716.SI
002795.SZ,801890.SI,801072.SI,850712.SI
002796.SZ,801890.SI,801074.SI,850728.SI
002797.SZ,801790.SI,801193.SI,851931.SI
002798.SZ,801140.SI,801142.SI,851433.SI
002799.SZ,801140.SI,801141.SI,851421.SI
002800.SZ,801170.SI,801178.SI,851781.SI
002801.SZ,801730.SI,801731.SI,850741.SI
002802.SZ,801030.SI,801034.SI,850339.SI
002803.SZ,801140.SI,801141.SI,851421.SI
002805.SZ,801030.SI,801033.SI,850324.SI
002806.SZ,801050.SI,801055.SI,850551.SI
002807.SZ,801780.SI,801192.SI,851911.SI
002808.SZ,801080.SI,801084.SI,850833.SI
002809.SZ,801030.SI,801034.SI,850339.SI
002810.SZ,801030.SI,801034.SI,850339.SI
002811.SZ,801720.SI,801722.SI,857221.SI
002812.SZ,801030.SI,801034.SI,850339.SI
